Track name,Artist name,Album,Spotify Popularity,Spotify Release Date,Spotify Release Year,Track Age,Tags,Genres,bpm,energy,danceability,mood,Track Artist,Update_date
Behind the Moon,K!llx,Behind the Moon,50.0,2022-07-14,2022,1,,,125.0,0.3385,1.2061,energetic,Behind the Moon K!llx,2025/11/30
Beksa,Artur Rojek,Składam się z ciągłych powtórzeń,52.0,2014-04-04,2014,10,"'polish', 'alternative', '2014', 'psychodelic', 'artur rojek'",'alternative',144.0,0.1841,0.9777,energetic,Beksa Artur Rojek,2025/11/30
Belfast,Boney M.,The Essential Boney M.,51.0,1991-01-01,1991,32,"'Disco', 'pop', '80s', 'dance', '70s'","'Disco', 'pop'",131.0,0.1628,1.0633,energetic,Belfast Boney M.,2025/11/30
Believer,Imagine Dragons,Evolve,89.0,2017-06-23,2017,7,"'rock', 'pop rock', '2017', 'pop', 'alternative'","'rock', 'pop', 'alternative'",125.0,0.2169,1.2265,energetic,Believer Imagine Dragons,2025/11/30
Believer,Joel Marques,Believer,21.0,2024-01-12,2024,0,"'Eurovision Song Contest', 'Eurovision', 'Luxembourg', 'ESC', 'preselection'",,128.0,0.1325,1.0227,energetic,Believer Joel Marques,2025/11/30
"Bemidji, MN (Fargo Series Main Theme)",Jeff Russo,Fargo (An Original MGM / FXP Television Series),38.0,2014-06-27,2014,9,"'Soundtrack', 'instrumental', 'composer', 'Classical', 'score'","'Soundtrack', 'instrumental', 'Classical'",120.0,0.0796,0.6583,neutral,"Bemidji, MN (Fargo Series Main Theme) Jeff Russo",2025/11/30
"Bemidji, MN (Reprise)",Jeff Russo,Fargo (An Original MGM / FXP Television Series),22.0,2014-06-27,2014,9,"'Soundtrack', 'instrumental', 'composer', 'Classical', 'score'","'Soundtrack', 'instrumental', 'Classical'",122.0,0.0556,0.5401,energetic,"Bemidji, MN (Reprise) Jeff Russo",2025/11/30
Bez końca,Artur Rojek,Kundel,52.0,2020-03-13,2020,4,"'polish', 'seen live', 'alternative', 'alternative rock', 'rock'","'alternative', 'alternative rock', 'rock'",122.0,0.2512,1.1351,energetic,Bez końca Artur Rojek,2025/11/30
Beze mnie,Dawid Kwiatkowski,Beze mnie,46.0,2024-07-09,2024,0,"'muzyka dla dzieci', 'brutal deathcore', 'pop', 'polish', 'pedau'",'pop',134.0,0.2349,1.1112,energetic,Beze mnie Dawid Kwiatkowski,2025/11/30
Bezpieczny Lot,KARAŚ/ROGUCKI,Czułe Kontyngenty,43.0,2022-09-23,2022,1,,,128.0,0.223,1.2318,energetic,Bezpieczny Lot KARAŚ/ROGUCKI,2025/11/30
Beztrosko,Voo Voo,Premiera,27.0,2022-10-28,2022,1,"'polish', 'alternative', 'seen live', 'jazz', 'rock'","'alternative', 'jazz', 'rock'",117.0,0.1894,1.1474,neutral,Beztrosko Voo Voo,2025/11/30
Biegnij Dalej Sam,Fisz Emade Tworzywo,Biegnij Dalej Sam,45.0,2016-09-05,2016,7,"'seen live', 'alternative', 'Hip-Hop', 'polish', 'experimental'","'alternative', 'Hip-Hop'",87.0,0.2835,1.1108,neutral,Biegnij Dalej Sam Fisz Emade Tworzywo,2025/11/30
Big Hoops (Bigger The Better),Nelly Furtado,The Spirit Indestructible (Deluxe),38.0,2022-06-24,2022,1,"'pop', 'female vocalists', 'Canadian', 'folk', 'singer-songwriter'",'pop',120.0,0.1387,1.1938,bright,Big Hoops (Bigger The Better) Nelly Furtado,2025/11/30
